معیار,نسخه 1,نسخه 2,تغییر (%),برنده
RMSE - ریشه میانگین مربعات خطا (دلار),566.9442445300388,529.5406234191106,6.597407323877751,نسخه 2
MAE - میانگین قدر مطلق خطا (دلار),417.4819013614877,424.22095931021437,-1.614215592759667,نسخه 1
MAPE - میانگین درصد خطا (%),15.759236699375014,16.692647976343075,-5.922947251658947,نسخه 1
R² - ضریب تعیین,0.05333808795018158,0.175122294159907,228.32503167993826,نسخه 2
